no,year_province_district,province_district,province,district,size_liras,size_dollars,houses,category,year,month,completion,project_name,firm
93,2017_kocaeli_kandira,kocaeli_kandira,kocaeli,kandira,28400000,7799378.4,270,talep_organizasyon,2017,4,%96,kocaeli ili. kandira ilcesi 270 adet konut. 1 adet camii insaaari ile altyapi ve cevre duzenlemesi isi ,iz_Tas ins metal mer maden Tarim Taah san Tic Ltd sti
6,2017_kocaeli_kartepe,kocaeli_kartepe,kocaeli,kartepe,17421000,4784259.546,,protokol_meb,2017,6,%98,kocaeli ili kartepe ilcesi. anadolu otelcilik ve Turizm meslek Lisesi. 180 ogrencilik pansiyon binasi insaaari ile altyapi ve cevre duzenlemesi isi,kader savas guLsen _ aZd muh ins Ve Taah &amp; gelis mad ins san Ve Tic Ltd sti  is ortakligi
402,2017_konya_ahirli,konya_ahirli,konya,ahirli,24950000,6851918.7,180,konut_sosyal_donati,2017,10,%18,konya ili ahirli ilcesi 121 adet konut . 1 adet bufe ve 1 adet Ticaret merkezi insaaari ile yalihuyuk ilcesi 59 adet konut ve 1 adet Ticaret merkezi insaaari ile altyapi ve cevre duzenlemesi isi,guctas yapi prj ins harita Ve muh hiz mad dan gida san Ve Tic as &amp; Vesas muh mus as is ortakligi
88,2017_konya_akoren,konya_akoren,konya,akoren,17289000,4748008.914,157,talep_organizasyon,2017,2,%97,konya ili. akoren ilcesi. agalar mahallesi 157 adet konut ve 1 adet 3 dukkanli Ticaret merkezi insaaari ile altyapi ve cevre duzenlemesi isi,my park ins as
99,2017_konya_bozkir,konya_bozkir,konya,bozkir,13789000,3786817.914,112,talep_organizasyon,2017,5,%97,konya ili. bozkir ilcesi. demirasaf mahallesi 112 adet konut ve 4 dukkanli Ticaret merkezi insaaari ile altyapi ve cevre duzenlemesi isi,hekimoglu grup ins Taah mad pet oto nak Turz san Tic as &amp; yuksel hekimogLU insaat Taah is ortakligi
294,2017_konya_derbent,konya_derbent,konya,derbent,5608000,1540102.608,47,konut_sosyal_donati,2017,2,%100,konya ili derbent ilcesi 47 adet konut insaaari ile altyapi ve cevre duzenlemesi isi,sabay ins san Ve dis  Tic Ltd sti &amp; cinarbay ins _onder kaRadeniZ is ortakligi
610,2017_konya_eregli,konya_eregli,konya,eregli,40562000,11139379.81,334,idare_konut,2017,11,%98,konya ili. eregli ilcesi. orhaniye mahallesi 334 adet konut . 1 adet 4 dukkanli Ticaret merkezi ve 1 adet camii insaaari ile  altyapi ve cevre duzenlemesi isi,merkez yapi ins Taah enerji gida san Tic  as &amp; biser ins muh gida Tek pet oto Tur Ve Tic san Ltd sti is ortakligi
130,2017_konya_sarayonu,konya_sarayonu,konya,sarayonu,95400000,26199320.4,799,talep_organizasyon,2017,12,%91,konya ili sarayonu ilcesi Ladik mahallesi 2etap 799 adet konut ve 1 adet sosyal Tesis. 1 adet camii insaati ile altyapi ve cevre duzenlemesi isi,aybar ins muh bilg sis san Ve Tic Ltd sti  &amp; intek konut ins as is ortakligi
124,2017_kutahya_emet,kutahya_emet,kutahya,emet,29945000,8223675.57,219,talep_organizasyon,2017,11,%81,kutahya ili. emet ilcesi 219 adet konut . 1 adet bufe ve 1 adet T_1 camii insaaari ile altyapi ve cevre duzenlemesi isi,artim ins proje eml danis san Ve Tic Ltd sti
104,2017_kutahya_merkez,kutahya_merkez,kutahya,merkez,6288000,1726848.288,,kamu_hizmet,2017,1,%52,kutahya ili.inkoy mahallesi 24 derslikli ilkogretim okulu ile altyapi ve cevre duzenlemesi insaati isi,mandan yapi ins muh emlak Taah paz Ltd sti
117,2017_malatya_battalgazi,malatya_battalgazi,malatya,battalgazi,23790000,6533352.54,72,talep_organizasyon,2017,8,%98,malatya ili battalgazi ilcesi camurlu mahallesi inonu universitesi 2etap 72 konut ile altyapi ve cevre duzenlemesi isi,merkez yapi ins Taah enerji gida san Tic as
42,2017_manisa_demirci,manisa_demirci,manisa,demirci,3860000,1060056.36,255,ikmal_ihalesi,2017,1,%94,manisa ili demirci ilcesi 255 adet konut. 1 adet bufe ile altyapi ve cevre duzenlemesi insaati isi (ikmâl insaati),hch muh proje ins Tic Ve san Ltd sti &amp; FhF sos hiz ins gida dogalgaz bilg otm san Tic Ltd sti is ortakligi
599,2017_manisa_yunusemre,manisa_yunusemre,manisa,yunusemre,136800000,37568836.8,748,idare_konut,2017,5,%92,manisa ili yunusemre ilcesi akgedik mahallesi 2 etap 1 kisim 748 adet konut. 16 adet dukkan ve 1 adet cami insaaari ile altyapi ve cevre duzenlemesi isi,aL_ba yapi ins beton san nak Tic Ltd sti
604,2017_manisa_yunusemre,manisa_yunusemre,manisa,yunusemre,148790000,40861602.54,775,idare_konut,2017,8,%87,manisa ili yunusemre ilcesi akgedik mahallesi 2etap 2kisim 775 adet konut. 9 adet dukkan . 1 adet camii. 1 adet  12 derslikli ilkokul ve 1 adet 12 derslikli ortaokul insaaari ile altyapi ve cevre duzenlemesi isi,aL_ba yapi ins beton san nak Tic Ltd sti
51,2017_mugla_mentese,mugla_mentese,mugla,mentese,16745000,4598612.37,,ikmal_ihalesi,2017,10,%97,mugla 475 yatakli devlet hastanesi J blok Tamamlama insaati isi,emt ins Turz san Ve Tic as
606,2017_mus_merkez,mus_merkez,mus,merkez,47400000,13017272.4,381,idare_konut,2017,8,%97,mus ili merkez ilcesi kepenek mahallesi 381 adet konut. Ticaret ve 1 adet camii insaaari ile altyapi ve cevre duzenlemesi isi,niyazi bayramoglu ins san Tic as &amp; navyap ins Turz Tas pet urn ith ihr san Ve Tic Ltd sti is ortakligi
95,2017_nevsehir_avanos,nevsehir_avanos,nevsehir,avanos,45350000,12454289.1,324,talep_organizasyon,2017,4,%97,nevsehir ili avanos ilcesi aydin mah 324 adet konut ve 5 dukkanli Ticaret insaaari ile altyapi ve duzenleme isi,ycg ins muh mad san Ve Tic Ltd sti
121,2017_nevsehir_merkez,nevsehir_merkez,nevsehir,merkez,31000000,8513406,225,talep_organizasyon,2017,,%86,nevsehir ili. merkez ilcesi. gore beldesi. cayirlik mahallesi 225 adet konut ve 1 adet 3 dukkanli Ticaret merkezi insaaari ile altyapi ve cevre duzenlemesi isi,hekimoglu grup ins Taah mad pet oto nak Turz san Tic as &amp; yuksel hekimogLU insaat Taah is ortakligi
396,2017_nigde_bor,nigde_bor,nigde,bor,16600000,4558791.6,157,konut_sosyal_donati,2017,2,%98,nigde ili bor ilcesi bahceli/cumhuriyet mahallesi 157 adet konut T_4a 3 dukkanli Ticaret ve T1 tipi camii . sadirvan insaaari ile altyapi ve cevre duzenleme isi,bitas muh mim ins san Ve Tic Ltd sti
1,2017_nigde_merkez,nigde_merkez,nigde,merkez,10943000,3005232.318,,protokol_meb,2017,4,%100,nigde ili. merkez ilcesi. efendibey mahallesi 1 adet imam hatip Lisesi. 1 adet 200 kisilik pansiyon insaaari ile altyapi ve cevre duzenlemesi isi,seler Taah yapi ins san Ve Tic Ltd sti
197,2017_nigde_merkez,nigde_merkez,nigde,merkez,139700000,38365252.2,944,kentsel_donusum,2017,12,%93,nigde ili merkez efendibey mahallesi kentsel donusum ve gelisim projesi 3etap 1 bolge 944 konut . 80 adet dukkan. 1 adet 24 derslikli ilkogretim okulu insaaari ile altyapi ve cevre duzenlemesi isi,metaleks ins san Tic as &amp; yilkanur ins san Ve Tic as is ortakligi
97,2017_osmaniye_duzici,osmaniye_duzici,osmaniye,duzici,7500000,2059695,63,talep_organizasyon,2017,4,%98,osmaniye ili duzici ilcesi 63 konut insaati ile altyapi ve cevre duzenleme isi,7 k ozturk ins yapi malz san Tic Ltd sti
44,2017_samsun_atakum,samsun_atakum,samsun,atakum,6530000,1793307.78,,ikmal_ihalesi,2017,1,%98,samsun 200 yatakli Ruh ve sinir hastaliklari hastanesi (ikmâl insaati),alfen Taah ins mad nak san Ve Tic Ltd sti &amp; elbey grup ins nak Taah san Tic Ltd sti is ortakligi
47,2017_samsun_ilkadim,samsun_ilkadim,samsun,ilkadim,17328000,4758719.328,422,ikmal_ihalesi,2017,6,%97,samsun ili cay mahallesi 422 adet konut. 1 adet cami. 1 adet sosyal Tesis ile altyapi Ve cevre duzenlemesi insaati isi (ikmâl insaati),osman acar ins gida enerji san Ve Tic Ltd sti
195,2017_samsun_Vezirkopru,samsun_Vezirkopru,samsun,Vezirkopru,80880000,22211750.88,504,kentsel_donusum,2017,11,%92,samsun ili. Vezirkopru ilcesi . nalbani mahallesi kentsel donusum ve gelisim projesi. 504 adet konut . 16 adet dukkan . 5 adet Ticaret merkezi. 2 adet sosyal Tesis binasi insaaari ile altyapi ve cevre duzenlemesi isi,aybar ins muh bilg sis san Ve Tic Ltd sti
90,2017_sanliurfa_hilvan,sanliurfa_hilvan,sanliurfa,hilvan,10725000,2945363.85,98,talep_organizasyon,2017,3,%97,sanliurfa ili hilvan ilcesi 2 etap 98 adet konut insaati ile altyapi ve cevre duzenlemesi isi,eksan mim muh ins Taah ith ihr Ve san Tic Ltd sti  &amp; ayyapi nakliyat izolasyon Tur ins mim san Ve Tic Ltd sti is ortakligi
891,2017_siirt_Tillo,siirt_Tillo,siirt,Tillo,5850000,1606562.1,,altyapi_sosyal,2017,11,%97,siirt ili Tillo ilcesi belediye hizmet binasi ve Ticaret birimleri . misafirhane binasi ve  sifa kuyusu insaaari ile altyapi ve cevre duzenlemesi isi,burhan buyuk (VT insaat  &amp; meh  seydi  keskin)
94,2017_sinop_dikmen,sinop_dikmen,sinop,dikmen,11244000,3087894.744,94,talep_organizasyon,2017,4,%98,sinop ili dikmen ilcesi 94 adet konut insaati ile altyapi ve cevre duzenlemesi isi,yhm yapi ins Taah gida Teks Tar hayv pet yem Tem Tas san Ve Tic as &amp; adenis ins Taah Turz san Tic as is ortakligi
177,2017_sirnak_merkez,sirnak_merkez,sirnak,merkez,88560000,24320878.56,686,kentsel_donusum,2017,2,%95,sirnak ili merkez ilcesi 1bolge 1etap 686 adet konut. 78 adet dukkan insaaari ile altyapi ve cevre duzenlemesi isi,caba ins enerj Turizm san Ve Tic as
178,2017_sirnak_merkez,sirnak_merkez,sirnak,merkez,91590000,25152995.34,582,kentsel_donusum,2017,3,%96,sirnak ili. merkez ilcesi 1 bolge 2 etap 582 adet konut. 38 adet dukkan. 1 adet cami. 1 adet Taziye evi insaaari ile altyapi ve cevre duzenlemesi isi,acar ins nak paz san Tic as  &amp; gelis mad ins san Ve Tic Ltd sti is ortakligi
179,2017_sirnak_merkez,sirnak_merkez,sirnak,merkez,102420000,28127194.92,645,kentsel_donusum,2017,3,%92,sirnak ili merkez ilcesi bahcelievler mahallesi 1 bolge 1 etap 645 adet konut. 24 adet Ticaret ve 1 adet camii insaaari ile altyapi ve cevre duzenlemesi isi,arikan ins Taah Tic Ve san as &amp; alfen Taah ins mad nak san Ve Tic Ltd sti &amp; elbey ins Taah Tic Ltd sti is ortakligi
180,2017_sirnak_merkez,sirnak_merkez,sirnak,merkez,78300000,21503215.8,539,kentsel_donusum,2017,4,%97,sirnak ili. merkez ilcesi gazi 1 bolge 1 etap 539 adet konut. 12 adet dukkân insaati ile altyapi ve cevre duzenlemesi isi,aL_ba yapi ins beton san nak Tic Ltd sti
181,2017_sirnak_merkez,sirnak_merkez,sirnak,merkez,78780000,21635036.28,511,kentsel_donusum,2017,4,%92,sirnak ili. merkez ilcesi gazi 1 bolge 2 etap 511 adet konut. 42 adet dukkân. 1'er adet cami ve Taziye evi insaati ile altyapi ve cevre duzenlemesi isi,arikan ins Taah Tic Ve san as &amp; alfen Taah ins mad nak san Ve Tic Ltd sti is ortakligi
186,2017_sirnak_merkez,sirnak_merkez,sirnak,merkez,44440000,12204379.44,301,kentsel_donusum,2017,7,%97,sirnak ili merkez ilcesi bahcelievler mahallesi 1bolge 2etap 301 adet konut 18 adet dukkan ile altyapi ve cevre  duzenlemesi insaati isi,kader savas guLsen _ aZd muh ins Ve Taah &amp; erol sahin _ sahin yapi enerji is ortakligi
187,2017_sirnak_merkez,sirnak_merkez,sirnak,merkez,109678047,30120443.34,718,kentsel_donusum,2017,7,%95,sirnak ili merkez ilcesi 3 bolge 718 adet konut ve 24 adet dukkan insaaari ile altyapi ve cevre duzenlemesi isi,Tefirom ins enerji san Ve Tic as
188,2017_sirnak_merkez,sirnak_merkez,sirnak,merkez,101300000,27819613.8,708,kentsel_donusum,2017,7,%95,sirnak ili. merkez ilcesi 4 bolge 1etap 708 adet konut ve 36 adet Ticaret insaaari ile altyapi ve cevre duzenlemesi isi (ii oturum),acar ins nak paz san Tic as &amp; kader savas guLsen _ aZd muh ins Ve Taah is ortakligi
189,2017_sirnak_merkez,sirnak_merkez,sirnak,merkez,134880000,37041554.88,986,kentsel_donusum,2017,7,%88,sirnak ili. merkez ilcesi 4 bolge 2etap 986 adet konut ve 12 adet Ticaret insaaari ile altyapi ve cevre duzenlemesi isi (ii oturum),caba ins enerj Turizm san Ve Tic as
43,2017_sivas_gurun,sivas_gurun,sivas,gurun,3212000,882098.712,,ikmal_ihalesi,2017,1,%90,sivas ili gurun ilcesi 25 yatakli devlet hastanesi insaati ile altyapi Ve cevre duzenlemesi isi (ikmâl insaati),sedat boRLUkan ins muh Ve mut &amp; atas muh hart san Ve Tic Ltd sti is ortakligi
600,2017_sivas_merkez,sivas_merkez,sivas,merkez,84700000,23260822.2,762,idare_konut,2017,5,%96,sivas merkez yenimahalle 762 adet konut. 1 adet 7 dukkanli Ticaret merkezi ve 1 adet cami insaaari ile altyapi ve cevre duzenlemesi isi,Leda yapi ve prj Taah Ltd sti
113,2017_sivas_susehri,sivas_susehri,sivas,susehri,58828000,16155698.33,460,talep_organizasyon,2017,8,%93,sivas ili susehri ilcesi 2 etap 460 adet konut. 1 adet Ticaret merkezi ve 1 adet camii ile altyapi ve cevre duzenlemesi isi,ali acar ins san Ve Tic Ltd sti
106,2017_Tekirdag_suleymanpasa,Tekirdag_suleymanpasa,Tekirdag,suleymanpasa,8750000,2402977.5,,kamu_hizmet,2017,3,%98,Tekirdag defterdarlik hizmet binasi ile altyapi ve cevre duzenlemesi insaati isi,samih deniZ &amp; a_deniz yapi _ ali deniz is ortakligi
92,2017_Tokat_erbaa,Tokat_erbaa,Tokat,erbaa,27450000,7538483.7,224,talep_organizasyon,2017,4,%98,Tokat ili erbaa ilcesi 224 adet konut. 1 adet Ticaret merkezi ve 1 adet cami insaaari ile altyapi ve cevre duzenlemesi isi,kocaman ins Tur san Ve Tic Ltd sti
605,2017_Tokat_niksar,Tokat_niksar,Tokat,niksar,40980000,11254173.48,306,idare_konut,2017,8,%90,Tokat ili niksar ilcesi kultur mahallesi 4 etap 306 adet konut. 1 adet Ticaret merkezi ve 1 adet camii insaati ile altyapi ve cevre duzenlenmesi isi,komyapi haz bet pref insTaah san Ve Tic as
119,2017_Tokat_Zile,Tokat_Zile,Tokat,Zile,44798000,12302695.55,437,talep_organizasyon,2017,,%97,Tokat ili Zile ilcesi bahcelievler mahallesi 437 adet konut ve 1 adet 3 dukkanli Ticaret merkezi insaaari ile altyapi ve cevre duzenlemesi isi,polen ins muh nak gida Taah san Ve Tic Ltd sti &amp; erensan ins mlz Ve ins orm ur san Ve Tic Ltd sti is ortakligi
194,2017_Trabzon_yomra,Trabzon_yomra,Trabzon,yomra,68000000,18674568,511,kentsel_donusum,2017,10,%96,Trabzon ili. yomra ilcesi kentsel donusum ve gelisim projesi 511 adet konut ve 24 dukkanli 1 adet Ticaret merkezi insaaari ile altyapi ve cevre duzenlemesi isi,aydur ins Taah Tic Ve san Turz Tas hiz Ltd sti &amp; mustafa eksi yapi as is ortakligi
4,2017_Tunceli_merkez,Tunceli_merkez,Tunceli,merkez,108350000,29755727.1,,protokol_meb,2017,3,%17,Tunceli universitesi aktuluk yerleskesi 2 etap kampus binalarinin insaati ile altyapi ve cevre duzenlemesi isi,sec yapi ins enerji Tur Ve Tic Ltd sti &amp; metas ins ith Ve ihr hayv gida Tic Ltd sti is ortakligi
83,2017_Tunceli_ovacik,Tunceli_ovacik,Tunceli,ovacik,34133000,9373809.258,314,talep_organizasyon,2017,1,%92,Tunceli ili ovacik ilcesi 39 ada 129 parselde yapilacak olan 314 konut ve 1 adet 5 dukkanli Ticaret merkezi. 1 adet sosyal Tesis insaaari ile altyapi ve cevre duzenleme isi,hita yapi mak Tur oto as &amp; alkan ins nak pet gida dogalgaz Ltd sti is ortakligi
398,2017_Usak_banaz,Usak_banaz,Usak,banaz,15949000,4380010.074,137,konut_sosyal_donati,2017,4,%92,Usak ili banaz ilcesi 31 agustos mahallesi 137 adet konut  ve 1 adet bufe ile altyapi ve cevre duzenlemesi isi,akhas ins san Tic Ltd sti &amp; halis coban ins Tic san Ltd sti is ortakligi
129,2017_Usak_Ulubey,Usak_Ulubey,Usak,Ulubey,0,0,126,talep_organizasyon,2017,12,%97,Usak ili Ulubey ilcesi asagi mahallesi 126 adet konut . 1 adet bufe insaati ile altyapi ve cevre duzenlemesi isi,demraz grup ins
185,2017_Van_ercis,Van_ercis,Van,ercis,54635000,15004191.51,,kentsel_donusum,2017,6,%97,Van ili ercis ilcesi kentsel donusum ve gelisim projesi 407 adet dukkan ve 48 adet ofis insaaari ile altyapi ve cevre duzenlemesi isi,ycg ins muh mad san Ve Tic Ltd sti
107,2017_Van_ipekyolu,Van_ipekyolu,Van,ipekyolu,16425000,4510732.05,,kamu_hizmet,2017,3,%77,Van defterdarligi hizmet binasi ve Lojman binasi ile altyapi ve cevre duzenlemesi insaati isi,onay ins Taah Tic ith Ve ihrc Ltd sti
888,2017_Van_Tusba,Van_Tusba,Van,Tusba,12750000,3501481.5,,altyapi_sosyal,2017,,%98,Van ilinde yapilan afet konuarinin genel altyapilarina ait ilave imalaar yapim insaati isi,ahmer Loj haf ins egi Ve dan Tar hay san Ve Tic as
395,2017_yozgat_akdagmadeni,yozgat_akdagmadeni,yozgat,akdagmadeni,14789000,4061443.914,124,konut_sosyal_donati,2017,2,%97,yozgat ili. akdagmadeni ilcesi. olukozu koyu 124 adet konut ve 1 adet 4 dukkanli Ticaret merkezi insaaari ile altyapi ve cevre duzenlemesi isi,hekimoglu grup ins Taah mad pet oto nak Turz san Tic as &amp; yuksel hekimogLU insaat Taah is ortakligi
114,2017_yozgat_yenifakili,yozgat_yenifakili,yozgat,yenifakili,28324444,7778628.758,224,talep_organizasyon,2017,8,%93,yozgat ili yenifakili ilcesi. 4 etap 224 adet konut 1 adet Ticaret merkezi. 1 adet camii insaaari ile altyapi Ve cevre duzenlemesi isi,gentas endustriyel ins as &amp; Ustabasoglu ins Ve Tic as is ortakligi
96,2017_Zonguldak_caycuma,Zonguldak_caycuma,Zonguldak,caycuma,48000000,13182048,380,talep_organizasyon,2017,4,%96,Zonguldak ili caycuma ilcesi. karamusa mahallesi 101 ada 85 parsel 380 adet konut . 1 adet camii ve 1 adet Ticaret binasi insaaari ile altyapi ve cevre duzenlemesi isi,arslanlar ins Teks gida san Ve Tic Ltd sti &amp; cankaya Toplu konut hafr muh ins san Ve Tic Ltd sti is ortakligi
100,2017_Zonguldak_devrek,Zonguldak_devrek,Zonguldak,devrek,51800000,14225626.8,427,talep_organizasyon,2017,6,%98,Zonguldak ili. devrek ilcesi. caydegirmeni beldesi. 427 adet konut. 1 adet 5 dukkanli Ticaret merkezi ve 1 adet cami insaaari ile altyapi ve cevre duzenlemesi isi,durmaz oto petrol urn ins san Ve Tic as &amp; Re_ha ins mad nak san Ve Tic as is ortakligi
126,2017_Zonguldak_merkez,Zonguldak_merkez,Zonguldak,merkez,15980000,4388523.48,110,talep_organizasyon,2017,11,%97,Zonguldak ili merkez ilcesi Terakki mahallesi 110 adet konut insaati ile altyapi ve cevre duzenlemesi isi,karakoc Toplu konut yapi ins san Ve Tic Ltd sti
202,2018_adana_seyhan,adana_seyhan,adana,seyhan,89740000,19118119.86,627,kentsel_donusum,2018,6,%2,adana ili. seyhan ilcesi. barbaros ve bey mahalleleri kentsel donusum ve gelisim projesi 1etap 627 adet konut ve 22 adet dukkan insaaari ile altyapi ve cevre duzenlemesi isi,kahraman ins Ve Tic Ltd sti
203,2018_adana_seyhan,adana_seyhan,adana,seyhan,134619000,28679097.14,923,kentsel_donusum,2018,6,%1,adana ili. seyhan ilcesi. barbaros ve bey mahalleleri kentsel donusum ve gelisim projesi 2etap 923 adet konut ve 14 adet dukkan insaaari ile altyapi ve cevre duzenlemesi isi,gRsi ins san Ve Tic as &amp; gaziantep gold yapi ins Taah san Ve Tic Ltd sti  is ortakligi
140,2018_afyonkarahisar_bayat,afyonkarahisar_bayat,afyonkarahisar,bayat,27290000,5813834.31,236,talep_organizasyon,2018,3,%90,afyonkarahisar ili bayat ilcesi 3 etap 236 adet konut insaati ile altyapi ve cevre duzenlemesi isi,yuzyil mesken yapi san Tic as &amp; sahin yapi enerji erol sahin is ortakligi
135,2018_afyonkarahisar_dinar,afyonkarahisar_dinar,afyonkarahisar,dinar,12500000,2662987.5,84,talep_organizasyon,2018,2,%96,afyon ili. dinarli ilcesi. haydarli beldesi 84 adet konut. 1 adet bufe. 1 adet camii ile altyapi ve cevre duzenlemesi isi,7 k ozturk ins yapi malz sanTic Ltd sti
21,2018_aksaray_merkez,aksaray_merkez,aksaray,merkez,262000000,55816218,,diger,2018,1,%57,aksaray sanayi sitesi 1620 adet dukkan ile altyapi ve cevre duzenlemesi insaati isi,cakir ins ith ihr san Ve Tic Ltd sti &amp; mbs yapi as is ortakligi
111,2018_ankara_cankaya,ankara_cankaya,ankara,cankaya,0,0,,kamu_hizmet,2018,4,,mTa genel mudurlugune ait Turkiye yerbilimleri Veri ve karot bilgi bankasi insaati ile altyapi ve cevre duzenlenmesi isi,
112,2018_ankara_cankaya,ankara_cankaya,ankara,cankaya,66500000,14167093.5,,kamu_hizmet,2018,5,%98,enerji piyasasi duzenleme kurumu (epdk) hizmet binasi ii kisim insaati isi,cakir ins ve Tic Ltd sti &amp; ilgazlar insaat Tic Ve san as is ortakligi
57,2018_ankara_etimesgut,ankara_etimesgut,ankara,etimesgut,27780000,5918223.42,,ikmal_ihalesi,2018,5,%79,ankara boTas dogalgaz isletmeleri bolge mudurlugu hizmet binasi insaati ile altyapi ve cevre duzenlemesi isi (ikmâl insaati),artim ins proje eml danis san Ve Tic Ltd sti
626,2018_ankara_etimesgut,ankara_etimesgut,ankara,etimesgut,36600000,7797227.4,146,idare_konut,2018,10,%84,ankara ili. etimesgut ilcesi. etiler mahallesi 146 adet konut insaati ile altyapi ve cevre duzenlemesi isi,mep gayr ins as &amp; cankaya Toplu konut harfiyat muh ins san Ve Tic Ltd sti is ortakligi
15,2018_ankara_kecioren,ankara_kecioren,ankara,kecioren,1088000,231786.432,,bakim_onarim,2018,5,%98,kuzey ankara girisi kentsel donusum projesinde yer alan 1 _3 _5 _6 _7 _8 _9 ve 15 etaplarda muhtelif bloklardaki konuara ait bakim onarim isi,mustafa akgoL _ akgol ins
56,2018_ankara_kecioren,ankara_kecioren,ankara,kecioren,121500000,25884238.5,,ikmal_ihalesi,2018,3,%43,ankara ili eti maden isletmeleri genel mudurlugu hizmet binasi insaati ile altyapi ve cevre duzenlemesi ikmal isi,can ins san Ve Tic as
616,2018_antalya_serik,antalya_serik,antalya,serik,78395000,16701192.41,583,idare_konut,2018,3,%76,antalya ili. serik ilcesi.  yukarikocayatak mahallesi 583 adet konut. 1 adet camii ve 1 adet kultur Tesisi insaati ile altyapi ve cevre duzenlemesi isi,arikan ins Taah Tic  Ve san as &amp; alfen Taah ins mad nak san Ve Tic Ltd sti is ortakligi
116,2018_artvin_yusufeli,artvin_yusufeli,artvin,yusufeli,69122000,14725681.76,,kamu_hizmet,2018,6,%82,artvin ili yusufeli ilcesi 1 bolge kamu ve sosyal donatilar insaati ile altyapi ve cevre duzenlemesi isi,ozulke ins Tic as &amp; maksem yapi Tic as is ortakligi
147,2018_balikesir_bigadic,balikesir_bigadic,balikesir,bigadic,52520000,11188808.28,322,talep_organizasyon,2018,5,%88,balikesir ili bigadic ilcesi 322 adet konut . 1 adet Ticaret merkezi. 1 adet camii insaaari ile altyapi ve cevre duzenlemesi isi,yp ins as &amp; metron yapi proje ins Taah Tic Ve beton san as is ortakligi
619,2018_balikesir_manyas,balikesir_manyas,balikesir,manyas,85644000,18245512.12,625,idare_konut,2018,5,%64,balikesir ili manyas ilcesi kizik mahallesi 625 adet konut. 2 adet Ticaret merkezi. 1 adet camii insaati ile altyapi ve cevre duzenlemesi isi,oz oguz ins Tur san Ve Tic Ltd sti
55,2018_batman_merkez,batman_merkez,batman,merkez,94967000,20231674.71,,ikmal_ihalesi,2018,3,%89,batman 300 yatakli kadin dogum ve cocuk devlet hastanesi insaati isi  (ikmâl insaati),kayas mad ins as
114,2018_bayburt_merkez,bayburt_merkez,bayburt,merkez,27969000,5958487.791,,kamu_hizmet,2018,6,%90,bayburt ili merkez ilcesi hukumet konagi insaati ile altyapi ve cevre duzenlemesi isi,metin VaRLibas ins Taah san Ve Turz yat Tic Ltd sti &amp;  bayburt oz_ka insith ihr Tic Ltd sti is ortakligi
137,2018_bilecik_sogut,bilecik_sogut,bilecik,sogut,17399000,3706665.561,117,talep_organizasyon,2018,2,%46,bilecik ili sogut ilcesi kayhan mah117 adet konut. 1 adet camii ve 1 adet bufe insaaari ile altyapi ve cevre duzenlemesi isi,ozfer ins Ve Tic Ltd sti
22,2018_bolu_merkez,bolu_merkez,bolu,merkez,127530140,27168893.5,,diger,2018,1,%28,bolu ili merkez ilcesi buyuk sanayi sitesi 988 adet dukkan ile altyapi ve cevre duzenlemesi insaati isi,eksihan ins gayr ener yat as
138,2018_bolu_mudurnu,bolu_mudurnu,bolu,mudurnu,17129000,3649145.031,126,talep_organizasyon,2018,3,%98,bolu ili. mudurnu ilcesi. Taskesti beldesi 126 adet konut. 3 dukkanli Ticaret merkezi ile altyapi ve cevre duzenlemesi isi,binbay yapi ins san Ve Tic Ltd sti &amp; eniscan ins Taah Tic Ltd sti is ortakligi
134,2018_bolu_seben,bolu_seben,bolu,seben,0,0,266,talep_organizasyon,2018,1,,bolu ili. seben ilcesi 2etap 266 adet konut insaati ile altyapi ve cevre duzenlemesi isi,
153,2018_burdur_cavdir,burdur_cavdir,burdur,cavdir,14844000,3162350.916,104,talep_organizasyon,2018,6,%90,burdur ili cavdir ilcesi pazar mevki 3etap 104 adet konut. 1 adet sosyal Tesis insaati ile altyapi Ve cevre duzenlemesi isi,ozarslanlar ins Tes Ve Tic as &amp; mahmut cil _ cil muh Ve Taah isleri is ortakligi
136,2018_bursa_orhaneli,bursa_orhaneli,bursa,orhaneli,27600000,5879876.4,148,talep_organizasyon,2018,2,%92,bursa ili orhaneli ilcesi Fevzipasa mahallesi 148 adet konut insaati  ile altyapi ve cevre duzenlemesi isi,cankaya Toplu konut hafriyat muh ins san Ve Tic Ltd sti &amp; kaizen muh ins Taah Tic as is ortakligi
110,2018_canakkale_ayvacik,canakkale_ayvacik,canakkale,ayvacik,8732000,1860256.548,40,afet_konutu,2018,5,%99,canakkale ili. ayvacik ilcesi. bektas koyu 5 konut. camkalabak koyu camici mevkii 15 konut camtepe mevkii 3 konut. kizilkecili koyu 7 konut. yukarikoy koyu 10 konut olmak uzere Toplam 40 adet afet konutu insaati ile altyapi ve cevre duzenlemesi isi,net yapi muh ins Taah Tic Ve san Ltd sti
115,2018_canakkale_bayramic,canakkale_bayramic,canakkale,bayramic,8948000,1906272.972,,kamu_hizmet,2018,6,%91,canakkale ili bayramic ilcesi hukumet konagi insaati ile altyapi ve cevre duzenlemesi isi,efe demiryolu Ray sistemleri mak muh ins mad enerji pet san Ve Tic as
